Master: localhost:29501  |  Nodes: 1  |  GPUs: 0 (1)  |  Rank: 0
[model] 110.9M parameters
[optim] Muon: 72 params, AdamW: 52 params
[data] 50 shard(s), 5,000,000,000 tokens total
step=1020 | loss=3.9289 | lr(muon)=1.85e-02 lr(adam)=2.77e-04 | tok/s=13684 | 4789ms/step | elapsed 85.3m | time left 114.7m
step=1030 | loss=3.9188 | lr(muon)=1.84e-02 lr(adam)=2.77e-04 | tok/s=12398 | 5286ms/step | elapsed 86.2m | time left 113.8m
step=1040 | loss=3.9412 | lr(muon)=1.84e-02 lr(adam)=2.76e-04 | tok/s=13530 | 4844ms/step | elapsed 87.0m | time left 113.0m
step=1050 | loss=3.9036 | lr(muon)=1.84e-02 lr(adam)=2.76e-04 | tok/s=13488 | 4859ms/step | elapsed 87.9m | time left 112.1m
step=1060 | loss=3.9591 | lr(muon)=1.83e-02 lr(adam)=2.75e-04 | tok/s=13305 | 4926ms/step | elapsed 88.7m | time left 111.3m
step=1070 | loss=3.8212 | lr(muon)=1.83e-02 lr(adam)=2.75e-04 | tok/s=11169 | 5868ms/step | elapsed 89.6m | time left 110.4m
step=1080 | loss=3.8308 | lr(muon)=1.83e-02 lr(adam)=2.74e-04 | tok/s=13574 | 4828ms/step | elapsed 90.4m | time left 109.6m
step=1090 | loss=3.8037 | lr(muon)=1.82e-02 lr(adam)=2.74e-04 | tok/s=10881 | 6023ms/step | elapsed 91.3m | time left 108.7m
step=1100 | loss=3.9847 | lr(muon)=1.82e-02 lr(adam)=2.73e-04 | tok/s=13292 | 4931ms/step | elapsed 92.1m | time left 107.9m
step=1110 | loss=3.9445 | lr(muon)=1.82e-02 lr(adam)=2.73e-04 | tok/s=13220 | 4957ms/step | elapsed 93.0m | time left 107.0m
step=1120 | loss=3.8429 | lr(muon)=1.81e-02 lr(adam)=2.72e-04 | tok/s=13201 | 4965ms/step | elapsed 93.8m | time left 106.2m
step=1130 | loss=3.8856 | lr(muon)=1.81e-02 lr(adam)=2.72e-04 | tok/s=13064 | 5017ms/step | elapsed 94.6m | time left 105.4m
step=1140 | loss=3.8073 | lr(muon)=1.81e-02 lr(adam)=2.71e-04 | tok/s=13335 | 4915ms/step | elapsed 95.5m | time left 104.5m
step=1150 | loss=3.7687 | lr(muon)=1.80e-02 lr(adam)=2.71e-04 | tok/s=13246 | 4948ms/step | elapsed 96.3m | time left 103.7m
