Master: localhost:29501  |  Nodes: 1  |  GPUs: 0 (1)  |  Rank: 0
/home/rawline/forge-pretrain/train.py:162: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler() if "cuda" in device else None
[mem] rank=0 after model load: 444 MB  (≈ M_params)
[model] 110.9M parameters
[optim] Muon: 72 params, AdamW: 52 params
[data] 50 shard(s), 5,000,000,000 tokens total
[rank0]:W0428 22:08:29.664000 24912 site-packages/torch/_inductor/utils.py:1731] [0/0] Not enough SMs to use max_autotune_gemm mode
step=410 | loss=4.5963 | lr(muon)=1.98e-02 lr(adam)=2.97e-04 | tok/s=18187 (rank tok/s=18187) | 3603ms/step [fwd=64 bwd=152 opt=147 ms] | elapsed 23.5m | time left 176.5m
step=420 | loss=4.5163 | lr(muon)=1.98e-02 lr(adam)=2.97e-04 | tok/s=18373 (rank tok/s=18373) | 3567ms/step [fwd=64 bwd=152 opt=149 ms] | elapsed 24.1m | time left 175.9m
step=430 | loss=4.5376 | lr(muon)=1.98e-02 lr(adam)=2.97e-04 | tok/s=18681 (rank tok/s=18681) | 3508ms/step [fwd=62 bwd=147 opt=144 ms] | elapsed 24.7m | time left 175.3m
step=440 | loss=4.3961 | lr(muon)=1.98e-02 lr(adam)=2.97e-04 | tok/s=18710 (rank tok/s=18710) | 3503ms/step [fwd=62 bwd=147 opt=144 ms] | elapsed 25.3m | time left 174.7m
step=450 | loss=4.4954 | lr(muon)=1.98e-02 lr(adam)=2.97e-04 | tok/s=18702 (rank tok/s=18702) | 3504ms/step [fwd=63 bwd=147 opt=144 ms] | elapsed 25.9m | time left 174.1m
step=460 | loss=4.3868 | lr(muon)=1.98e-02 lr(adam)=2.96e-04 | tok/s=18745 (rank tok/s=18745) | 3496ms/step [fwd=61 bwd=148 opt=144 ms] | elapsed 26.4m | time left 173.6m
step=470 | loss=4.4832 | lr(muon)=1.97e-02 lr(adam)=2.96e-04 | tok/s=18735 (rank tok/s=18735) | 3498ms/step [fwd=62 bwd=147 opt=143 ms] | elapsed 27.0m | time left 173.0m
step=480 | loss=4.3686 | lr(muon)=1.97e-02 lr(adam)=2.96e-04 | tok/s=18715 (rank tok/s=18715) | 3502ms/step [fwd=62 bwd=147 opt=144 ms] | elapsed 27.6m | time left 172.4m
step=490 | loss=4.4304 | lr(muon)=1.97e-02 lr(adam)=2.96e-04 | tok/s=18723 (rank tok/s=18723) | 3500ms/step [fwd=63 bwd=147 opt=142 ms] | elapsed 28.2m | time left 171.8m
step=500 | loss=4.3004 | lr(muon)=1.97e-02 lr(adam)=2.96e-04 | tok/s=18740 (rank tok/s=18740) | 3497ms/step [fwd=62 bwd=148 opt=144 ms] | elapsed 28.8m | time left 171.2m
step=510 | loss=4.3785 | lr(muon)=1.97e-02 lr(adam)=2.95e-04 | tok/s=18726 (rank tok/s=18726) | 3500ms/step [fwd=62 bwd=148 opt=144 ms] | elapsed 29.4m | time left 170.6m
step=520 | loss=4.4200 | lr(muon)=1.97e-02 lr(adam)=2.95e-04 | tok/s=18754 (rank tok/s=18754) | 3495ms/step [fwd=64 bwd=147 opt=144 ms] | elapsed 30.0m | time left 170.0m
step=530 | loss=4.3445 | lr(muon)=1.97e-02 lr(adam)=2.95e-04 | tok/s=18371 (rank tok/s=18371) | 3567ms/step [fwd=64 bwd=151 opt=146 ms] | elapsed 30.5m | time left 169.5m
step=540 | loss=4.1920 | lr(muon)=1.96e-02 lr(adam)=2.95e-04 | tok/s=18458 (rank tok/s=18458) | 3551ms/step [fwd=63 bwd=149 opt=146 ms] | elapsed 31.1m | time left 168.9m
step=550 | loss=4.2501 | lr(muon)=1.96e-02 lr(adam)=2.94e-04 | tok/s=18602 (rank tok/s=18602) | 3523ms/step [fwd=62 bwd=149 opt=145 ms] | elapsed 31.7m | time left 168.3m
step=560 | loss=4.2034 | lr(muon)=1.96e-02 lr(adam)=2.94e-04 | tok/s=18606 (rank tok/s=18606) | 3522ms/step [fwd=63 bwd=150 opt=146 ms] | elapsed 32.3m | time left 167.7m
step=570 | loss=4.2842 | lr(muon)=1.96e-02 lr(adam)=2.94e-04 | tok/s=18424 (rank tok/s=18424) | 3557ms/step [fwd=63 bwd=150 opt=146 ms] | elapsed 32.9m | time left 167.1m
step=580 | loss=4.2352 | lr(muon)=1.96e-02 lr(adam)=2.94e-04 | tok/s=18404 (rank tok/s=18404) | 3561ms/step [fwd=63 bwd=150 opt=146 ms] | elapsed 33.5m | time left 166.5m
step=590 | loss=4.2683 | lr(muon)=1.96e-02 lr(adam)=2.93e-04 | tok/s=18370 (rank tok/s=18370) | 3567ms/step [fwd=63 bwd=150 opt=146 ms] | elapsed 34.1m | time left 165.9m
step=600 | loss=4.2797 | lr(muon)=1.95e-02 lr(adam)=2.93e-04 | tok/s=18391 (rank tok/s=18391) | 3564ms/step [fwd=63 bwd=149 opt=146 ms] | elapsed 34.7m | time left 165.3m
step=610 | loss=4.1705 | lr(muon)=1.95e-02 lr(adam)=2.93e-04 | tok/s=18352 (rank tok/s=18352) | 3571ms/step [fwd=63 bwd=150 opt=146 ms] | elapsed 35.3m | time left 164.7m
