Master: localhost:29501  |  Nodes: 1  |  GPUs: 0 (1)  |  Rank: 0
[model] 110.9M parameters
[optim] Muon: 72 params, AdamW: 52 params
[data] 50 shard(s), 5,000,000,000 tokens total
step=610 | loss=4.1394 | lr(muon)=1.95e-02 lr(adam)=2.93e-04 | tok/s=8455 | 7751ms/step | elapsed 90.1m | time left 109.9m
step=620 | loss=4.2482 | lr(muon)=1.95e-02 lr(adam)=2.93e-04 | tok/s=9156 | 7158ms/step | elapsed 92.2m | time left 107.8m
step=630 | loss=4.1299 | lr(muon)=1.95e-02 lr(adam)=2.92e-04 | tok/s=7161 | 9152ms/step | elapsed 93.6m | time left 106.4m
step=640 | loss=4.0812 | lr(muon)=1.95e-02 lr(adam)=2.92e-04 | tok/s=8249 | 7945ms/step | elapsed 95.0m | time left 105.0m
step=650 | loss=4.0825 | lr(muon)=1.94e-02 lr(adam)=2.92e-04 | tok/s=7301 | 8976ms/step | elapsed 96.4m | time left 103.6m
step=660 | loss=4.1641 | lr(muon)=1.94e-02 lr(adam)=2.91e-04 | tok/s=8229 | 7964ms/step | elapsed 97.8m | time left 102.2m
step=670 | loss=4.1825 | lr(muon)=1.94e-02 lr(adam)=2.91e-04 | tok/s=7286 | 8995ms/step | elapsed 99.1m | time left 100.9m
step=680 | loss=4.1590 | lr(muon)=1.94e-02 lr(adam)=2.91e-04 | tok/s=8309 | 7888ms/step | elapsed 100.5m | time left 99.5m
step=690 | loss=4.0557 | lr(muon)=1.94e-02 lr(adam)=2.90e-04 | tok/s=9366 | 6997ms/step | elapsed 104.0m | time left 96.0m
step=700 | loss=4.0566 | lr(muon)=1.93e-02 lr(adam)=2.90e-04 | tok/s=7244 | 9047ms/step | elapsed 105.3m | time left 94.7m
step=710 | loss=4.0576 | lr(muon)=1.93e-02 lr(adam)=2.90e-04 | tok/s=8628 | 7596ms/step | elapsed 106.7m | time left 93.3m
step=720 | loss=4.0939 | lr(muon)=1.93e-02 lr(adam)=2.89e-04 | tok/s=8259 | 7935ms/step | elapsed 108.0m | time left 92.0m
step=730 | loss=4.1393 | lr(muon)=1.93e-02 lr(adam)=2.89e-04 | tok/s=8527 | 7686ms/step | elapsed 109.4m | time left 90.6m
step=740 | loss=4.1317 | lr(muon)=1.93e-02 lr(adam)=2.89e-04 | tok/s=8970 | 7306ms/step | elapsed 110.8m | time left 89.2m
step=750 | loss=3.9690 | lr(muon)=1.92e-02 lr(adam)=2.88e-04 | tok/s=5864 | 11176ms/step | elapsed 112.7m | time left 87.3m
step=760 | loss=3.9953 | lr(muon)=1.92e-02 lr(adam)=2.88e-04 | tok/s=7668 | 8547ms/step | elapsed 114.2m | time left 85.8m
step=770 | loss=4.1821 | lr(muon)=1.92e-02 lr(adam)=2.88e-04 | tok/s=7807 | 8395ms/step | elapsed 115.7m | time left 84.3m
step=780 | loss=4.0755 | lr(muon)=1.92e-02 lr(adam)=2.87e-04 | tok/s=8087 | 8104ms/step | elapsed 117.1m | time left 82.9m
step=790 | loss=4.0262 | lr(muon)=1.91e-02 lr(adam)=2.87e-04 | tok/s=8708 | 7526ms/step | elapsed 118.5m | time left 81.5m
step=800 | loss=4.0000 | lr(muon)=1.91e-02 lr(adam)=2.87e-04 | tok/s=8721 | 7515ms/step | elapsed 119.8m | time left 80.2m
step=810 | loss=4.0365 | lr(muon)=1.91e-02 lr(adam)=2.86e-04 | tok/s=7804 | 8398ms/step | elapsed 121.1m | time left 78.9m
step=820 | loss=4.0365 | lr(muon)=1.91e-02 lr(adam)=2.86e-04 | tok/s=8878 | 7382ms/step | elapsed 122.4m | time left 77.6m
step=830 | loss=4.0527 | lr(muon)=1.90e-02 lr(adam)=2.85e-04 | tok/s=8277 | 7918ms/step | elapsed 123.8m | time left 76.2m
step=840 | loss=3.8456 | lr(muon)=1.90e-02 lr(adam)=2.85e-04 | tok/s=8200 | 7992ms/step | elapsed 125.2m | time left 74.8m
step=850 | loss=4.0642 | lr(muon)=1.90e-02 lr(adam)=2.85e-04 | tok/s=7942 | 8252ms/step | elapsed 126.6m | time left 73.4m
step=860 | loss=3.9816 | lr(muon)=1.90e-02 lr(adam)=2.84e-04 | tok/s=8434 | 7770ms/step | elapsed 128.0m | time left 72.0m
step=870 | loss=3.9122 | lr(muon)=1.89e-02 lr(adam)=2.84e-04 | tok/s=6649 | 9857ms/step | elapsed 129.5m | time left 70.5m
