Master: localhost:29501  |  Nodes: 1  |  GPUs: 0,1 (2)  |  Rank: 0

*****************************************
Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
*****************************************
[model] 336.7M parameters
[optim] Muon: 144 params, AdamW: 100 params
[data] 49 shard(s), 49,000,000,000 tokens total
[data] 49 shard(s), 49,000,000,000 tokens total
step=1100 | loss=4.4296 | lr(muon)=1.82e-02 lr(adam)=2.73e-04 | tok/s=292466 | 448ms/step | elapsed 8.8m | time left 1.2m
step=1110 | loss=4.3710 | lr(muon)=1.82e-02 lr(adam)=2.73e-04 | tok/s=308014 | 426ms/step | elapsed 8.9m | time left 1.1m
step=1120 | loss=4.2443 | lr(muon)=1.81e-02 lr(adam)=2.72e-04 | tok/s=298889 | 439ms/step | elapsed 9.0m | time left 1.0m
step=1130 | loss=4.3126 | lr(muon)=1.81e-02 lr(adam)=2.72e-04 | tok/s=299339 | 438ms/step | elapsed 9.1m | time left 0.9m
step=1140 | loss=4.4136 | lr(muon)=1.81e-02 lr(adam)=2.71e-04 | tok/s=301704 | 434ms/step | elapsed 9.1m | time left 0.9m
step=1150 | loss=4.3640 | lr(muon)=1.80e-02 lr(adam)=2.71e-04 | tok/s=284259 | 461ms/step | elapsed 9.2m | time left 0.8m
step=1160 | loss=4.4083 | lr(muon)=1.80e-02 lr(adam)=2.70e-04 | tok/s=271826 | 482ms/step | elapsed 9.3m | time left 0.7m
step=1170 | loss=4.3254 | lr(muon)=1.80e-02 lr(adam)=2.69e-04 | tok/s=288106 | 455ms/step | elapsed 9.4m | time left 0.6m
step=1180 | loss=4.2963 | lr(muon)=1.79e-02 lr(adam)=2.69e-04 | tok/s=292151 | 449ms/step | elapsed 9.4m | time left 0.6m
step=1190 | loss=4.2837 | lr(muon)=1.79e-02 lr(adam)=2.68e-04 | tok/s=277839 | 472ms/step | elapsed 9.5m | time left 0.5m
step=1200 | loss=4.3736 | lr(muon)=1.79e-02 lr(adam)=2.68e-04 | tok/s=286207 | 458ms/step | elapsed 9.6m | time left 0.4m
step=1210 | loss=4.2537 | lr(muon)=1.78e-02 lr(adam)=2.67e-04 | tok/s=300716 | 436ms/step | elapsed 9.7m | time left 0.3m
step=1220 | loss=4.2195 | lr(muon)=1.78e-02 lr(adam)=2.67e-04 | tok/s=281933 | 465ms/step | elapsed 9.7m | time left 0.3m
step=1230 | loss=4.3266 | lr(muon)=1.77e-02 lr(adam)=2.66e-04 | tok/s=305877 | 429ms/step | elapsed 9.8m | time left 0.2m
step=1240 | loss=4.2346 | lr(muon)=1.77e-02 lr(adam)=2.66e-04 | tok/s=313469 | 418ms/step | elapsed 9.9m | time left 0.1m
step=1250 | loss=4.2808 | lr(muon)=1.77e-02 lr(adam)=2.65e-04 | tok/s=282694 | 464ms/step | elapsed 9.9m | time left 0.1m

[time] 10.0 min elapsed — time limit reached.
[ckpt] saved → checkpoint.pt  (step 1257)
