Master: localhost:29500  |  Nodes: 1  |  GPUs: 0,1 (2)  |  Rank: 0

*****************************************
Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
*****************************************
[model] 110.9M parameters
[data] 49 shard(s), 49,000,000,000 tokens total
[data] 49 shard(s), 49,000,000,000 tokens total
step=810 | loss=5.5346 | lr=5.73e-04 | tok/s=467685 | 140ms/step | elapsed 2.2m | time left 7.8m
step=820 | loss=5.4459 | lr=5.72e-04 | tok/s=450733 | 145ms/step | elapsed 2.2m | time left 7.8m
step=830 | loss=5.2943 | lr=5.71e-04 | tok/s=525431 | 125ms/step | elapsed 2.2m | time left 7.8m
step=840 | loss=5.4549 | lr=5.70e-04 | tok/s=453237 | 145ms/step | elapsed 2.2m | time left 7.8m
step=850 | loss=5.3692 | lr=5.69e-04 | tok/s=531700 | 123ms/step | elapsed 2.3m | time left 7.7m
step=860 | loss=5.4070 | lr=5.69e-04 | tok/s=419853 | 156ms/step | elapsed 2.3m | time left 7.7m
step=870 | loss=5.2508 | lr=5.68e-04 | tok/s=531994 | 123ms/step | elapsed 2.3m | time left 7.7m
step=880 | loss=5.3347 | lr=5.67e-04 | tok/s=437210 | 150ms/step | elapsed 2.3m | time left 7.7m
step=890 | loss=5.3425 | lr=5.66e-04 | tok/s=457945 | 143ms/step | elapsed 2.4m | time left 7.6m
step=900 | loss=5.2751 | lr=5.65e-04 | tok/s=518556 | 126ms/step | elapsed 2.4m | time left 7.6m
step=910 | loss=5.3456 | lr=5.64e-04 | tok/s=497441 | 132ms/step | elapsed 2.4m | time left 7.6m
step=920 | loss=5.2664 | lr=5.64e-04 | tok/s=536347 | 122ms/step | elapsed 2.4m | time left 7.6m
step=930 | loss=5.2967 | lr=5.63e-04 | tok/s=524991 | 125ms/step | elapsed 2.5m | time left 7.5m
step=940 | loss=5.1348 | lr=5.62e-04 | tok/s=494890 | 132ms/step | elapsed 2.5m | time left 7.5m
step=950 | loss=5.0731 | lr=5.61e-04 | tok/s=483429 | 136ms/step | elapsed 2.5m | time left 7.5m
step=960 | loss=5.1694 | lr=5.60e-04 | tok/s=484193 | 135ms/step | elapsed 2.5m | time left 7.5m
step=970 | loss=5.1028 | lr=5.59e-04 | tok/s=450107 | 146ms/step | elapsed 2.6m | time left 7.4m
step=980 | loss=5.1589 | lr=5.58e-04 | tok/s=426675 | 154ms/step | elapsed 2.6m | time left 7.4m
