Master: verda-hackathon-1:29500  |  Nodes: 2  |  GPUs/node: 4
[model] 110.9M parameters
[data] 49 shard(s), 49,000,000,000 tokens total[data] 49 shard(s), 49,000,000,000 tokens total[data] 49 shard(s), 49,000,000,000 tokens total


[data] 49 shard(s), 49,000,000,000 tokens total
[data] 49 shard(s), 49,000,000,000 tokens total[data] 49 shard(s), 49,000,000,000 tokens total

[data] 49 shard(s), 49,000,000,000 tokens total
[data] 49 shard(s), 49,000,000,000 tokens total
step    880 | loss 4.6561 | lr 5.67e-04 | 158ms/step | elapsed 2.4m | time left 7.6m
step    890 | loss 4.6729 | lr 5.66e-04 | 151ms/step | elapsed 2.4m | time left 7.6m
step    900 | loss 4.5609 | lr 5.65e-04 | 173ms/step | elapsed 2.5m | time left 7.5m
step    910 | loss 4.7430 | lr 5.64e-04 | 148ms/step | elapsed 2.5m | time left 7.5m
step    920 | loss 4.6201 | lr 5.64e-04 | 159ms/step | elapsed 2.5m | time left 7.5m
step    930 | loss 4.7441 | lr 5.63e-04 | 153ms/step | elapsed 2.5m | time left 7.5m
step    940 | loss 4.6727 | lr 5.62e-04 | 157ms/step | elapsed 2.6m | time left 7.4m
step    950 | loss 4.5866 | lr 5.61e-04 | 170ms/step | elapsed 2.6m | time left 7.4m
step    960 | loss 4.5945 | lr 5.60e-04 | 145ms/step | elapsed 2.6m | time left 7.4m
step    970 | loss 4.4844 | lr 5.59e-04 | 146ms/step | elapsed 2.6m | time left 7.4m
step    980 | loss 4.6203 | lr 5.58e-04 | 148ms/step | elapsed 2.7m | time left 7.3m
step    990 | loss 4.6358 | lr 5.57e-04 | 163ms/step | elapsed 2.7m | time left 7.3m
step   1000 | loss 4.7090 | lr 5.56e-04 | 165ms/step | elapsed 2.7m | time left 7.3m
