Master: localhost:29501  |  Nodes: 1  |  GPUs: 0 (1)  |  Rank: 0
[model] 110.9M parameters
[data] 50 shard(s), 5,000,000,000 tokens total
step=760 | loss=4.4881 | lr=5.76e-04 | tok/s=10903 | 6011ms/step | elapsed 80.8m | time left 119.2m
step=770 | loss=4.3878 | lr=5.75e-04 | tok/s=10782 | 6078ms/step | elapsed 81.9m | time left 118.1m
step=780 | loss=4.3907 | lr=5.75e-04 | tok/s=10875 | 6026ms/step | elapsed 82.9m | time left 117.1m
step=790 | loss=4.3354 | lr=5.74e-04 | tok/s=10652 | 6152ms/step | elapsed 84.0m | time left 116.0m
step=800 | loss=4.3078 | lr=5.73e-04 | tok/s=10770 | 6085ms/step | elapsed 85.1m | time left 114.9m
step=810 | loss=4.3833 | lr=5.73e-04 | tok/s=8722 | 7514ms/step | elapsed 86.1m | time left 113.9m
step=820 | loss=4.2263 | lr=5.72e-04 | tok/s=11093 | 5908ms/step | elapsed 87.2m | time left 112.8m
step=830 | loss=4.2461 | lr=5.71e-04 | tok/s=10891 | 6017ms/step | elapsed 88.2m | time left 111.8m
step=840 | loss=4.3119 | lr=5.70e-04 | tok/s=10915 | 6004ms/step | elapsed 89.3m | time left 110.7m
step=850 | loss=4.1527 | lr=5.69e-04 | tok/s=10987 | 5965ms/step | elapsed 90.4m | time left 109.6m
step=860 | loss=4.2790 | lr=5.69e-04 | tok/s=11307 | 5796ms/step | elapsed 91.4m | time left 108.6m
step=870 | loss=4.2798 | lr=5.68e-04 | tok/s=11248 | 5827ms/step | elapsed 92.5m | time left 107.5m
step=880 | loss=4.2461 | lr=5.67e-04 | tok/s=10798 | 6069ms/step | elapsed 93.6m | time left 106.4m
step=890 | loss=4.1942 | lr=5.66e-04 | tok/s=8349 | 7849ms/step | elapsed 94.6m | time left 105.4m
step=900 | loss=4.2144 | lr=5.65e-04 | tok/s=10830 | 6051ms/step | elapsed 95.7m | time left 104.3m
step=910 | loss=4.2466 | lr=5.64e-04 | tok/s=10583 | 6193ms/step | elapsed 96.7m | time left 103.3m
step=920 | loss=4.1579 | lr=5.64e-04 | tok/s=10794 | 6072ms/step | elapsed 97.8m | time left 102.2m
step=930 | loss=4.1548 | lr=5.63e-04 | tok/s=10808 | 6064ms/step | elapsed 98.8m | time left 101.2m
step=940 | loss=4.1370 | lr=5.62e-04 | tok/s=10920 | 6001ms/step | elapsed 99.9m | time left 100.1m
step=950 | loss=4.1775 | lr=5.61e-04 | tok/s=11099 | 5905ms/step | elapsed 101.0m | time left 99.0m
step=960 | loss=4.1733 | lr=5.60e-04 | tok/s=10633 | 6163ms/step | elapsed 102.0m | time left 98.0m
step=970 | loss=4.1310 | lr=5.59e-04 | tok/s=8307 | 7889ms/step | elapsed 103.1m | time left 96.9m
step=980 | loss=4.1715 | lr=5.58e-04 | tok/s=10929 | 5997ms/step | elapsed 104.1m | time left 95.9m
step=990 | loss=4.0497 | lr=5.57e-04 | tok/s=10817 | 6059ms/step | elapsed 105.2m | time left 94.8m
step=1000 | loss=4.1620 | lr=5.56e-04 | tok/s=11182 | 5861ms/step | elapsed 106.2m | time left 93.8m
step=1010 | loss=4.1780 | lr=5.55e-04 | tok/s=11033 | 5940ms/step | elapsed 107.3m | time left 92.7m
step=1020 | loss=4.0656 | lr=5.54e-04 | tok/s=10862 | 6033ms/step | elapsed 108.4m | time left 91.6m
step=1030 | loss=4.1273 | lr=5.53e-04 | tok/s=10792 | 6073ms/step | elapsed 109.4m | time left 90.6m
step=1040 | loss=4.0922 | lr=5.52e-04 | tok/s=10554 | 6209ms/step | elapsed 110.5m | time left 89.5m
step=1050 | loss=4.1342 | lr=5.51e-04 | tok/s=8278 | 7917ms/step | elapsed 111.6m | time left 88.4m
step=1060 | loss=4.1056 | lr=5.50e-04 | tok/s=10911 | 6007ms/step | elapsed 112.6m | time left 87.4m
